,Unnamed: 0,Unnamed: 0.1,Date,Open,High,Low,Close,Adj Close,Volume
146,146,146,2019-05-15,1827.949951,1874.430054,1823.0,1871.1500239999998,1871.1500239999998,4692600
147,147,147,2019-05-16,1885.939941,1917.5100100000002,1882.290039,1907.569946,1907.569946,4707800
148,148,148,2019-05-17,1893.050049,1910.530029,1867.3299559999998,1869.0,1869.0,4736600
149,149,149,2019-05-20,1852.689941,1867.780029,1835.540039,1858.969971,1858.969971,3798200
150,150,150,2019-05-21,1874.790039,1879.0,1846.0,1857.52002,1857.52002,4005100
151,151,151,2019-05-22,1851.780029,1871.4899899999998,1851.0,1859.680054,1859.680054,2936600
152,152,152,2019-05-23,1836.589966,1844.0,1804.199951,1815.47998,1815.47998,4424300
153,153,153,2019-05-24,1835.890015,1841.7600100000002,1817.8499760000002,1823.280029,1823.280029,3369700
154,154,154,2019-05-28,1832.75,1849.27002,1827.3499760000002,1836.430054,1836.430054,3200000
155,155,155,2019-05-29,1823.119995,1830.0,1807.530029,1819.189941,1819.189941,4279000
156,156,156,2019-05-30,1825.4899899999998,1829.469971,1807.8299559999998,1816.319946,1816.319946,3146900
157,157,157,2019-05-31,1790.0100100000002,1795.589966,1772.699951,1775.069946,1775.069946,4618800
158,158,158,2019-06-03,1760.0100100000002,1766.290039,1672.0,1692.689941,1692.689941,9098700
159,159,159,2019-06-04,1699.2399899999998,1730.819946,1680.890015,1729.560059,1729.560059,5679100
160,160,160,2019-06-05,1749.5999760000002,1752.0,1715.25,1738.5,1738.5,4239800
161,161,161,2019-06-06,1737.709961,1760.0,1726.130005,1754.359985,1754.359985,3689300
162,162,162,2019-06-07,1763.699951,1806.25,1759.4899899999998,1804.030029,1804.030029,4808200
163,163,163,2019-06-10,1822.0,1884.869995,1818.0,1860.630005,1860.630005,5371000
164,164,164,2019-06-11,1883.25,1893.699951,1858.0,1863.699951,1863.699951,4042700
165,165,165,2019-06-12,1853.97998,1865.0,1844.380005,1855.319946,1855.319946,2678300
166,166,166,2019-06-13,1866.719971,1883.089966,1862.219971,1870.300049,1870.300049,2795800
167,167,167,2019-06-14,1864.0,1876.0,1859.0,1869.6700440000002,1869.6700440000002,2851200
168,168,168,2019-06-17,1876.5,1895.689941,1875.449951,1886.030029,1886.030029,2634300
169,169,169,2019-06-18,1901.3499760000002,1921.6700440000002,1899.790039,1901.369995,1901.369995,3895700
170,170,170,2019-06-19,1907.839966,1919.5799559999998,1892.469971,1908.790039,1908.790039,2895300
171,171,171,2019-06-20,1933.3299559999998,1935.199951,1905.800049,1918.189941,1918.189941,3217200
172,172,172,2019-06-21,1916.0999760000002,1925.949951,1907.5799559999998,1911.300049,1911.300049,3933600
173,173,173,2019-06-24,1912.660034,1916.859985,1901.300049,1913.9000239999998,1913.9000239999998,2283000
174,174,174,2019-06-25,1911.839966,1916.390015,1872.4200440000002,1878.27002,1878.27002,3012300
175,175,175,2019-06-26,1892.47998,1903.800049,1887.319946,1897.8299559999998,1897.8299559999998,2441900
176,176,176,2019-06-27,1902.0,1911.2399899999998,1898.040039,1904.280029,1904.280029,2141700
177,177,177,2019-06-28,1909.0999760000002,1912.939941,1884.0,1893.630005,1893.630005,3037400
178,178,178,2019-07-01,1922.97998,1929.819946,1914.660034,1922.189941,1922.189941,3192100
